time; n; mu_gfp; std_gfp; rawData_gfp 
942.48; 197; 56.8528; 49.5282; {0,100,0,100,0,100,100,0,100,100,0,100,0,100,100,0,100,100,100,0,100,100,0,100,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,0,100,0,100,100,0,100,100,100,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,100,0,0,100,100,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,100,100,100,0,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,0,100,0,100,100,0,0,100,0,100,100,0,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100}
943.5; 192; 56.7708; 49.5394; {0,100,0,100,0,100,100,0,100,100,0,100,0,100,100,0,100,100,100,0,100,100,0,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,100,0,100,100,0,100,0,100,100,0,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100,0,100,0}
944.52; 194; 57.2165; 49.4765; {0,100,0,100,100,0,100,100,0,100,0,100,100,0,100,100,100,0,100,100,0,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,100,0,100,100,0,100,0,100,100,0,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,0,100,100,100,0}
945.54; 186; 58.0645; 49.3454; {0,100,0,100,100,100,0,100,0,100,100,0,100,100,100,0,100,100,0,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,0,0,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,100,100,0,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,0,100,100,100,0,100,100,100,0}
946.56; 185; 57.8378; 49.3819; {0,100,0,100,100,100,0,100,0,100,100,0,100,100,100,0,100,0,100,100,100,0,0,0,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,0,100,100,0,100,0,100,0,0,0,100,0,0,100,0,100,0,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,0,100,100,100,0,100,100,100,0,100,0,0,100,0}
947.58; 194; 57.732; 49.3986; {0,100,0,100,100,100,0,100,0,100,100,0,100,100,100,100,0,100,100,100,0,0,0,0,100,0,100,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,0,100,100,0,0,100,0,0,0,100,0,0,100,0,100,0,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100}
948.6; 204; 56.8627; 49.5268; {0,100,0,100,100,100,0,100,0,100,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,100,0,100,100,100,0,100,0,100,100,100,0,0,100,100,0,0,100,0,0,0,100,0,0,100,0,100,0,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,100,100,0,100,100,100,100,0,100,0,0,100,100,0,100,0,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,0,0,0,0,0,0,0,100,100,100,100}
949.62; 205; 56.0976; 49.6268; {0,100,0,100,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,0,100,0,0,0,100,0,0,100,0,100,0,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,100,100,0,100,100,100,100,0,100,0,0,100,100,0,100,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100,0,100,0,100,0,0,0,0,0,0,0,100,100,100,100,100,0,100,0,100,0,0}
950.64; 206; 56.3107; 49.6002; {0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,0,100,0,0,0,100,0,0,100,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,0,100,100,100,100,0,0,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,100,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,100,100,0,100,100,0,0,0,100,100,100,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,0,100,0,0,100,0,0,0,100,100,0,100,100}
951.66; 202; 56.4356; 49.5841; {0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,0,100,0,0,0,0,100,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,0,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,100,100,0,100,100,0,0,0,100,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,100,100,0,100,100,0,100,100,0,100,100,100,100}
952.68; 207; 57.0048; 49.5069; {0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,0,100,0,0,0,0,100,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,0,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,100,100,0,100,100,0,0,0,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,0,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100}
953.7; 213; 56.338; 49.5967; {0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,100,0,0,0,0,100,0,100,100,100,100,0,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,100,0,100,100,100,100,100,100,0,100,0,100,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,100,100,0,100,100,0,0,0,100,100,100,0,0,100,100,0,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,0,0,0,100,0,100,0,100,0,100,0}
954.72; 209; 57.4163; 49.4469; {0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,0,100,100,0,0,100,100,0,100,0,0,0,100,0,100,100,100,100,0,100,0,0,0,100,100,0,100,100,0,0,100,100,0,0,100,100,100,0,0,0,100,100,100,100,0,0,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,100,0,100,100,100,100,100,0,100,0,100,0,100,0,100,0,100,100,0,100,100,100,100,100,0,100,100,0,100,100,0,0,0,100,100,100,0,0,100,0,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,100,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,100,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,0,0,0,100,0,100,0,100,0,0,100,100,100,100}
