time; n; mu_gfp; std_gfp; rawData_gfp 
109.14; 83; 50.6024; 49.9964; {0,0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100}
110.16; 85; 49.4118; 49.9965; {0,0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0}
111.18; 85; 49.4118; 49.9965; {0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0}
112.2; 86; 48.8372; 49.9865; {0,100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0}
113.22; 86; 47.6744; 49.9459; {0,100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,100,0,0}
114.24; 84; 48.8095; 49.9858; {100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,100,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0}
115.26; 84; 48.8095; 49.9858; {100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,100,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0}
116.28; 83; 46.988; 49.9092; {100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,0}
117.3; 82; 47.561; 49.9405; {100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,0}
118.32; 82; 47.561; 49.9405; {100,100,100,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,0}
119.34; 82; 50; 50; {100,100,100,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,100,100}
120.36; 84; 51.1905; 49.9858; {100,100,100,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0}
121.38; 87; 54.023; 49.8379; {100,100,100,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0,100,100,100,100,100}
